"분류
기준","질병분류
코드",검별,주석,한글명칭,영문명칭
소,A00,,,콜레라,Cholera
중,A00-A09,,,장 감염 질환(A00-A09),Intestinal Infectious Diseases(A00-A09)
대,A00-B99,,,Ⅰ.특정 감염성 및 기생충성 질환(A00-B99),Certain infectious and parasitic diseases(A00-B99)
세,A00.0,,,비브리오 콜레라 01 콜레라형균에 의한 콜레라,"Cholera due to Vibrio cholerae 01, biovar cholerae"
,A00.0,,,고전적 콜레라,Classical cholera
세,A00.1,,,비브리오 콜레라 01 엘토르형균에 의한 콜레라,"Cholera due to Vibrio cholerae 01, biovar eltor"
,A00.1,,,엘토르 콜레라,Cholera eltor
세,A00.9,,,상세불명의 콜레라,"Cholera, unspecified"
소,A01,,,장티푸스 및 파라티푸스,Typhoid and paratyphoid fevers
세,A01.0,,,장티푸스,Typhoid fever
,A01.0,,,장티푸스균에 의한 감염,Infection due to Salmonella typhi
세,A01.1,,,파라티푸스 A,Paratyphoid fever A
세,A01.2,,,파라티푸스 B,Paratyphoid fever B
세,A01.3,,,파라티푸스 C,Paratyphoid fever C
세,A01.4,,,상세불명의 파라티푸스,"Paratyphoid fever, unspecified"
,A01.4,,,파라티푸스균에 의한 감염 NOS,Infection due to Salmonella paratyphi NOS
소,A02,,,기타 살모넬라감염,Other salmonella infections
세,A02.0,,,살모넬라장염,Salmonella enteritis
,A02.0,,,살모넬라증,Salmonellosis
세,A02.1,,,살모넬라패혈증,Salmonella sepsis
세,A02.2,,,국소적 살모넬라감염,Localized salmonella infections
세,A02.8,,,기타 명시된 살모넬라감염,Other specified salmonella infections
세,A02.9,,,상세불명의 살모넬라감염,"Salmonella infection, unspecified"
소,A03,,,시겔라증,Shigellosis
세,A03.0,,,이질이질균에 의한 시겔라증,Shigellosis due to Shigella dysenteriae
,A03.0,,,A군 시겔라증[시가-크루세 이질],Group A shigellosis [Shiga-Kruse dysentery]
세,A03.1,,,플렉스네리이질균에 의한 시겔라증,Shigellosis due to Shigella flexneri
,A03.1,,,B군시겔라증,Group B shigellosis
세,A03.2,,,보이디이질균에 의한 시겔라증,Shigellosis due to Shigella boydii
,A03.2,,,C군 시겔라증,Group C shigellosis
세,A03.3,,,소네이이질균에 의한 시겔라증,Shigellosis due to Shigella sonnei
,A03.3,,,D군 시겔라증,Group D shigellosis
세,A03.8,,,기타 시겔라증,Other shigellosis
세,A03.9,,,상세불명의 시겔라증,"Shigellosis, unspecified"
,A03.9,,,세균이질 NOS,Bacillary dysentery NOS
소,A04,,,기타 세균성 장감염,Other bacterial intestinal infections
세,A04.0,,,장병원성 대장균감염,Enteropathogenic Escherichia coli infection
세,A04.1,,,장독소생산 대장균감염,Enterotoxigenic Escherichia coli infection
세,A04.2,,,장침투성 대장균감염,Enteroinvasive Escherichia coli infection
세,A04.3,,,장출혈성 대장균감염,Enterohaemorrhagic Escherichia coli infection
세,A04.4,,,기타 장대장균감염,Other intestinal Escherichia coli infection
,A04.4,,,대장균장염 NOS,Escherichia coli enteritis NOS
세,A04.5,,,캄필로박터장염,Campylobacter enteritis
세,A04.6,,,예르시니아 엔테로콜리티카에 의한 장염,Enteritis due to Yersinia enterocolitica
세,A04.7,,,클로스트리듐 디피실리에 의한 장결장염,Enterocolitis due to Clostridium difficile
,A04.7,,,거짓막성 결장염,Pseudomembranous colitis
,A04.7,,,클로스트리듐 디피실리에 의한 식중독,Foodborne intoxication by Clostridium difficile
세,A04.8,,,기타 명시된 세균성 장감염,Other specified bacterial intestinal infections
세,A04.9,,,상세불명의 세균성 장감염,"Bacterial intestinal infection, unspecified"
,A04.9,,,세균성 장염 NOS,Bacterial enteritis NOS
소,A05,,,달리 분류되지 않은 기타 세균성 음식매개중독,"Other bacterial foodborne intoxications, NEC"
세,A05.0,,,음식매개포도알균중독,Foodborne staphylococcal intoxication
